i,x
380,[1 1 1 1 1]
381,[1 1 1 1 1]
382,[1 1 1 1 1]
383,[1 1 1 1 1]
384,[1 1 1 1 1]
385,[1 1 1 1 1]
386,[1 1 1 1 1]
387,[1 1 1 1 1]
388,[1 1 1 1 1]
389,[1 1 1 1 1]
390,[1 1 1 1 1]
391,[1 1 1 1 1]
392,[1 1 0 1 1]
393,[1 1 1 1 1]
394,[1 1 1 1 1]
395,[1 1 1 1 1]
396,[1 1 1 1 1]
397,[1 1 1 1 1]
398,[1 1 1 1 1]
399,[1 1 1 1 1]
400,[1 1 1 1 1]
401,[0 1 1 1 1]
402,[1 1 1 1 0]
403,[1 1 1 1 0]
404,[1 1 1 1 1]
405,[1 1 1 1 1]
406,[1 1 1 1 1]
407,[1 1 1 1 1]
408,[1 1 1 1 1]
409,[1 1 1 1 1]
410,[1 1 1 1 1]
411,[1 1 1 1 1]
412,[1 1 1 1 1]
413,[1 1 1 1 0]
414,[1 1 1 1 0]
415,[1 1 1 1 0]
416,[1 1 1 1 0]
417,[1 1 1 1 0]
418,[1 1 1 1 0]
419,[1 1 1 1 1]
420,[1 1 1 1 0]
421,[1 1 1 1 0]
422,[1 1 1 1 0]
423,[1 1 1 1 1]
424,[1 1 1 1 1]
425,[1 1 1 1 1]
426,[1 1 1 1 1]
427,[1 1 1 1 1]
428,[1 1 1 1 1]
429,[1 1 1 1 1]
430,[1 1 1 1 1]
431,[1 1 1 1 1]
432,[1 1 1 1 1]
433,[1 1 1 1 1]
434,[1 1 1 1 1]
435,[1 1 0 1 1]
436,[1 1 0 1 1]
437,[1 1 1 1 0]
438,[1 1 1 1 0]
439,[1 1 1 1 0]
440,[1 1 1 1 0]
441,[1 1 1 1 0]
442,[1 1 1 1 0]
443,[1 1 1 1 1]
444,[1 1 1 1 1]
445,[1 1 1 1 1]
446,[1 1 1 1 1]
447,[1 1 1 1 1]
448,[1 1 1 0 1]
449,[1 1 1 0 1]
450,[1 0 1 1 1]
451,[1 1 1 1 1]
452,[1 1 1 1 1]
453,[1 1 1 1 1]
454,[1 1 1 1 1]
455,[1 1 1 1 1]
456,[0 1 1 1 1]
457,[1 1 1 1 1]
458,[1 1 1 1 1]
459,[1 1 1 1 1]
460,[1 1 1 1 1]
461,[1 1 1 1 1]
462,[1 1 1 1 1]
463,[1 1 1 1 1]
464,[1 1 1 1 1]
465,[1 1 1 1 1]
466,[1 1 0 1 1]
467,[1 1 1 1 1]
468,[1 1 0 1 1]
469,[1 0 1 1 1]
470,[1 0 1 1 1]
471,[1 0 1 1 1]
472,[1 0 1 1 1]
473,[1 1 1 1 1]
474,[1 1 1 1 1]
475,[1 1 1 1 1]
476,[1 1 1 1 1]
477,[1 1 1 1 1]
478,[1 1 1 1 1]
479,[1 1 1 0 1]
480,[1 1 1 1 1]
481,[1 1 1 1 1]
482,[1 1 1 1 1]
483,[1 1 1 1 1]
484,[1 1 1 1 1]
485,[1 1 1 1 1]
486,[1 1 1 1 1]
487,[1 1 1 1 1]
488,[1 1 1 1 1]
489,[1 1 1 1 1]
490,[1 1 1 1 1]
491,[1 1 1 1 1]
492,[1 1 1 1 1]
493,[1 1 1 1 1]
494,[1 1 1 1 1]
495,[1 1 1 1 1]
496,[1 1 1 1 1]
497,[1 1 1 1 1]
498,[1 1 1 1 1]
499,[1 1 1 1 1]
500,[1 1 1 1 1]
501,[1 1 1 1 1]
502,[1 1 1 1 1]
503,[1 1 1 1 1]
504,[1 1 1 1 1]
505,[1 1 1 1 1]
506,[1 1 1 1 1]
507,[1 1 1 1 1]
508,[1 1 1 1 1]
509,[1 1 1 1 1]
510,[1 1 1 1 1]
511,[1 1 1 1 1]
512,[1 1 1 1 1]
513,[1 1 0 1 1]
514,[1 1 1 1 1]
515,[1 1 0 1 1]
516,[1 1 1 1 1]
517,[1 1 1 1 1]
518,[1 1 1 1 1]
519,[1 1 1 1 1]
520,[1 1 1 1 1]
521,[1 0 1 1 1]
522,[1 1 1 1 1]
523,[1 1 1 1 1]
524,[1 1 1 1 1]
525,[1 1 1 1 1]
526,[1 1 1 1 1]
527,[1 1 1 1 1]
528,[1 1 1 1 1]
529,[1 1 1 1 1]
530,[1 1 1 0 1]
531,[1 1 1 0 1]
532,[1 1 1 0 1]
533,[1 1 1 0 1]
534,[1 1 1 0 1]
535,[1 1 1 1 1]
536,[1 0 1 1 1]
537,[1 1 1 1 1]
538,[1 1 1 1 1]
539,[1 1 1 1 1]
540,[1 1 1 1 1]
541,[1 1 1 1 1]
542,[1 1 1 1 1]
543,[1 1 1 1 1]
544,[1 1 1 1 1]
545,[1 1 1 1 1]
546,[1 1 1 1 1]
547,[0 1 1 1 1]
548,[0 1 1 1 1]
549,[0 1 1 1 1]
550,[1 1 1 1 1]
551,[1 0 1 1 0]
552,[1 0 1 1 0]
553,[1 1 1 1 1]
554,[1 0 1 1 1]
555,[1 0 1 1 1]
556,[1 0 1 1 1]
557,[1 1 1 1 1]
558,[1 1 1 1 1]
559,[1 1 1 1 1]
560,[0 1 1 1 1]
561,[0 1 1 1 1]
562,[0 1 1 1 1]
563,[0 1 1 1 1]
564,[1 1 1 1 1]
565,[1 0 1 1 1]
566,[1 0 1 1 1]
567,[1 1 1 1 1]
568,[1 1 1 1 1]
569,[1 1 1 1 1]
570,[1 1 1 1 1]
571,[1 1 1 1 1]
572,[1 1 1 1 1]
573,[1 1 0 1 1]
574,[1 1 0 1 1]
575,[1 1 1 1 1]
576,[1 1 1 1 1]
577,[1 1 1 1 1]
578,[1 1 1 0 1]
579,[1 1 1 0 1]
580,[1 1 1 1 1]
581,[1 1 1 1 1]
582,[1 1 1 1 1]
583,[1 1 1 1 1]
584,[1 1 1 1 1]
585,[1 1 1 1 1]
586,[1 1 1 1 1]
587,[1 1 0 1 1]
588,[1 1 0 1 1]
589,[1 1 0 1 1]
590,[1 1 0 0 0]
591,[1 1 0 0 0]
592,[1 1 0 0 0]
593,[1 1 0 0 0]
594,[1 1 0 0 0]
595,[1 1 0 0 0]
596,[1 1 0 0 0]
597,[1 1 0 0 0]
598,[1 1 0 0 0]
599,[1 1 1 0 1]
600,[1 1 1 0 1]
601,[1 1 1 0 1]
602,[1 1 1 0 1]
603,[0 1 1 1 0]
604,[1 1 1 0 1]
605,[1 1 1 1 1]
606,[1 1 1 1 1]
607,[1 1 1 1 0]
608,[1 1 1 0 1]
609,[1 1 1 0 1]
610,[1 1 1 1 1]
611,[1 1 1 0 1]
612,[0 1 1 1 0]
613,[0 1 1 1 0]
614,[0 1 1 1 0]
615,[0 1 1 1 0]
616,[1 1 0 1 1]
617,[1 1 1 1 1]
618,[1 1 1 1 1]
619,[1 1 1 1 1]
620,[0 1 1 1 1]
621,[1 0 1 1 1]
622,[1 1 1 1 1]
623,[1 1 1 1 1]
624,[1 1 0 1 1]
625,[1 1 1 0 1]
626,[0 1 1 1 1]
627,[1 1 1 1 1]
628,[1 1 1 1 1]
629,[1 1 1 1 1]
630,[1 1 1 1 1]
631,[1 1 1 1 1]
632,[1 1 1 1 1]
633,[1 1 1 1 1]
634,[1 1 1 1 1]
635,[1 1 1 0 1]
636,[1 1 1 1 1]
637,[1 1 1 1 1]
638,[1 1 1 0 0]
639,[1 1 1 0 0]
640,[1 1 1 0 0]
641,[1 1 1 0 0]
642,[1 1 1 0 0]
643,[1 1 1 0 0]
644,[1 1 1 0 0]
645,[1 1 1 0 1]
646,[0 1 1 1 1]
647,[0 1 1 0 1]
648,[0 1 1 0 1]
649,[1 1 1 1 1]
650,[1 1 0 1 1]
651,[1 1 1 0 1]
652,[1 1 1 0 1]
653,[0 1 1 1 1]
654,[0 1 1 1 1]
655,[0 1 1 1 1]
656,[0 1 1 1 1]
657,[0 1 1 1 1]
658,[0 1 1 1 1]
659,[0 1 1 1 1]
660,[0 1 1 1 1]
661,[1 0 1 0 1]
662,[1 0 1 0 1]
663,[1 0 1 0 1]
664,[1 1 1 0 0]
665,[1 1 1 0 0]
666,[1 1 1 0 0]
667,[1 1 1 0 0]
668,[1 1 1 0 0]
669,[1 1 1 0 0]
670,[1 1 1 0 0]
671,[1 1 1 0 0]
672,[1 1 1 0 0]
673,[1 1 1 1 1]
674,[1 1 1 1 0]
675,[1 1 1 1 1]
676,[0 1 1 1 0]
677,[0 1 1 1 0]
678,[0 1 1 1 0]
679,[0 1 0 0 1]
680,[0 1 0 0 1]
681,[1 0 1 1 1]
682,[1 1 1 1 0]
683,[1 1 1 1 0]
684,[1 1 1 1 0]
685,[1 1 1 1 0]
686,[1 1 0 0 1]
687,[1 1 0 0 1]
688,[1 1 0 0 1]
689,[1 1 0 0 1]
690,[1 1 0 0 1]
691,[1 1 0 0 1]
692,[1 1 1 1 1]
693,[1 1 1 0 1]
694,[1 1 1 0 1]
695,[1 1 1 1 0]
696,[1 1 1 1 1]
697,[1 1 1 0 1]
698,[1 1 1 0 1]
699,[1 1 0 1 1]
700,[1 1 1 1 1]
701,[1 1 1 1 1]
702,[1 1 0 1 0]
703,[1 1 0 1 0]
704,[1 1 0 1 0]
705,[1 1 0 1 0]
706,[1 1 0 1 0]
707,[1 1 0 1 0]
708,[1 1 0 1 0]
709,[1 1 0 1 0]
710,[1 1 0 1 0]
711,[1 0 1 1 1]
712,[1 1 1 0 1]
713,[1 1 1 0 1]
714,[1 1 1 0 1]
715,[1 1 0 1 0]
716,[1 1 0 1 0]
717,[1 1 1 1 1]
718,[1 1 0 1 1]
719,[1 1 0 1 1]
720,[1 1 1 1 0]
721,[1 1 0 1 1]
722,[1 1 1 1 1]
723,[1 1 1 1 1]
724,[1 0 1 1 1]
725,[1 0 1 1 1]
726,[1 1 1 1 1]
727,[1 1 1 1 1]
728,[1 1 0 1 1]
729,[1 0 1 0 0]
730,[1 0 1 0 0]
731,[1 0 1 0 0]
732,[1 0 1 0 0]
733,[1 0 1 0 0]
734,[1 0 1 0 0]
735,[1 0 1 0 0]
736,[1 0 1 0 0]
737,[1 0 1 0 0]
738,[1 0 1 0 0]
739,[1 1 1 1 0]
740,[1 1 1 1 0]
741,[1 1 1 1 1]
742,[1 1 0 1 1]
743,[1 1 0 1 1]
744,[0 1 1 1 1]
745,[1 0 1 1 1]
746,[1 1 0 0 1]
747,[1 1 0 0 1]
748,[1 1 1 1 0]
749,[1 1 1 1 0]
750,[1 1 1 1 0]
751,[1 1 1 1 1]
752,[1 1 1 1 1]
753,[1 1 1 1 1]
754,[1 1 1 1 1]
755,[1 0 1 1 1]
756,[1 0 1 1 1]
757,[1 1 1 1 1]
758,[1 1 1 1 0]
759,[1 0 1 1 0]
760,[1 0 1 1 0]
761,[1 1 1 1 1]
762,[1 1 1 1 1]
763,[1 1 1 1 1]
764,[1 1 1 1 1]
765,[1 1 1 1 0]
766,[1 1 1 1 0]
767,[1 1 0 0 0]
768,[1 1 0 0 0]
769,[1 1 0 0 0]
770,[1 1 0 0 0]
771,[1 1 0 0 0]
772,[1 1 1 0 0]
773,[1 0 1 1 0]
774,[1 1 1 1 1]
775,[1 1 1 0 0]
776,[1 1 1 0 0]
777,[1 1 1 1 0]
778,[1 1 1 1 0]
779,[1 1 1 1 0]
780,[1 1 1 1 0]
781,[1 1 0 1 0]
782,[1 1 0 1 0]
783,[1 1 0 1 0]
784,[1 1 0 1 0]
785,[1 0 1 1 1]
786,[1 1 0 1 0]
787,[1 1 0 1 0]
788,[1 0 1 0 0]
789,[1 0 1 0 0]
790,[1 0 1 0 0]
791,[1 0 1 0 0]
792,[1 0 1 0 0]
793,[1 0 1 0 0]
794,[1 0 1 0 0]
795,[1 1 1 1 1]
796,[1 1 1 1 1]
797,[1 1 1 1 1]
798,[1 1 1 1 1]
799,[1 1 1 1 1]
800,[1 1 1 1 1]
801,[1 1 1 1 1]
802,[1 1 1 1 1]
803,[1 1 1 1 1]
804,[1 0 1 1 1]
805,[0 1 1 1 1]
806,[0 1 1 1 1]
807,[0 1 1 1 1]
808,[0 1 1 1 1]
809,[1 1 1 1 1]
810,[1 1 1 1 1]
811,[1 1 1 1 1]
812,[0 0 1 1 1]
813,[0 0 1 1 1]
814,[0 0 1 1 1]
815,[0 0 1 1 1]
816,[0 0 1 1 1]
817,[0 0 1 1 1]
818,[0 0 1 1 1]
819,[1 1 1 1 1]
820,[1 1 1 1 1]
821,[1 1 1 1 1]
822,[1 1 1 1 1]
823,[0 1 1 1 1]
824,[1 1 1 1 1]
825,[1 1 1 1 1]
826,[1 1 1 1 1]
827,[1 1 1 1 1]
828,[1 1 1 1 1]
829,[1 1 1 1 1]
830,[1 1 0 1 1]
831,[1 1 1 1 1]
832,[0 1 1 1 1]
833,[1 1 1 1 1]
834,[1 1 1 1 1]
835,[1 1 0 1 1]
836,[1 1 0 1 1]
837,[1 1 1 1 1]
838,[1 1 0 0 1]
839,[1 1 1 1 1]
840,[0 1 0 1 1]
841,[1 1 1 1 1]
842,[1 1 1 1 1]
843,[1 1 1 1 1]
844,[1 1 0 1 1]
845,[1 1 0 1 1]
846,[1 1 1 1 1]
847,[1 1 1 1 1]
848,[1 1 1 1 1]
849,[1 1 1 1 1]
850,[1 1 1 1 1]
851,[1 1 1 1 1]
852,[1 1 1 1 1]
853,[1 1 1 1 1]
854,[1 1 1 1 1]
855,[1 1 0 1 0]
856,[1 1 0 1 0]
857,[1 0 0 1 1]
858,[1 1 1 0 1]
859,[1 1 0 1 1]
860,[1 1 1 0 1]
861,[1 1 1 0 1]
862,[1 1 1 1 1]
863,[1 1 1 1 1]
864,[1 1 1 1 1]
865,[1 1 1 1 1]
866,[1 1 1 1 1]
867,[1 1 1 0 1]
868,[1 1 1 0 1]
869,[1 1 1 0 1]
870,[1 1 1 1 1]
871,[1 1 1 1 1]
872,[1 1 1 0 1]
873,[1 1 1 0 1]
874,[1 1 1 0 1]
875,[1 1 1 1 1]
876,[1 1 1 1 1]
877,[1 1 1 1 1]
878,[1 1 1 1 1]
879,[1 1 1 1 1]
880,[1 1 1 1 1]
881,[1 1 1 1 1]
882,[1 1 1 1 1]
883,[1 1 0 1 1]
884,[1 1 0 1 1]
885,[1 1 1 1 1]
886,[1 0 1 1 1]
887,[1 0 1 1 1]
888,[1 0 1 1 1]
889,[1 1 1 0 1]
890,[1 1 1 0 1]
891,[1 1 1 1 1]
892,[1 0 1 1 1]
893,[1 1 1 1 1]
894,[1 1 1 0 1]
895,[1 1 1 0 1]
896,[0 1 1 1 1]
897,[1 1 1 1 1]
898,[1 0 1 1 1]
899,[1 1 0 1 1]
900,[1 1 1 1 1]
901,[0 0 1 1 1]
902,[1 1 1 1 1]
903,[1 1 1 1 1]
904,[1 1 1 1 1]
905,[1 1 1 1 1]
906,[1 1 1 1 1]
907,[1 1 1 1 1]
908,[1 1 1 1 1]
909,[1 1 0 1 1]
910,[0 1 1 1 1]
911,[0 1 1 1 1]
912,[0 1 1 1 1]
913,[1 1 0 1 1]
914,[1 1 1 1 1]
915,[1 1 1 1 1]
916,[1 1 1 1 1]
917,[1 1 1 1 1]
918,[1 1 1 1 1]
919,[1 1 1 1 1]
920,[1 1 1 1 1]
921,[0 1 1 1 1]
922,[0 1 1 1 0]
923,[0 1 1 1 0]
924,[0 1 1 1 0]
925,[0 1 1 1 0]
926,[0 1 0 1 1]
927,[0 1 0 1 1]
928,[1 1 1 1 1]
929,[1 1 1 1 0]
930,[1 1 1 1 1]
931,[1 1 0 1 1]
932,[1 1 0 1 0]
933,[1 1 0 1 0]
934,[1 0 1 1 1]
935,[1 0 1 1 1]
936,[1 0 1 1 1]
937,[1 1 0 1 1]
938,[1 1 0 1 1]
939,[0 1 1 1 1]
940,[1 1 1 1 1]
941,[1 1 1 1 1]
942,[1 1 1 1 1]
943,[1 1 1 1 1]
944,[1 1 1 1 1]
945,[1 1 1 1 1]
946,[1 1 0 0 1]
947,[1 1 0 0 1]
948,[1 1 0 0 1]
949,[1 1 1 1 1]
950,[1 1 1 1 1]
951,[1 1 1 1 1]
952,[1 1 1 1 1]
953,[1 1 1 1 1]
954,[1 1 1 1 1]
955,[1 1 1 1 1]
956,[1 1 1 1 1]
957,[0 1 1 1 1]
958,[0 1 1 1 1]
959,[0 1 1 1 1]
960,[1 1 1 1 1]
961,[0 1 1 1 1]
962,[1 1 0 1 1]
963,[1 1 1 1 1]
964,[1 1 1 1 1]
965,[1 1 1 1 1]
966,[1 1 1 1 1]
967,[0 1 1 1 1]
968,[0 1 1 1 1]
969,[0 1 1 1 1]
970,[0 1 1 1 1]
971,[1 1 1 1 1]
972,[1 1 1 1 1]
973,[0 1 1 1 1]
974,[0 1 1 1 1]
975,[1 1 1 1 1]
976,[1 1 1 1 1]
977,[0 1 1 1 1]
978,[0 1 1 1 1]
979,[1 1 1 1 1]
980,[1 1 1 1 1]
981,[1 1 1 1 1]
982,[0 1 1 1 1]
983,[1 1 1 1 1]
984,[1 1 1 1 1]
985,[1 1 1 1 1]
986,[1 1 1 1 1]
987,[0 1 1 0 1]
988,[0 1 1 0 1]
989,[0 1 1 0 1]
990,[0 1 1 0 1]
991,[0 0 1 1 1]
992,[1 1 1 0 1]
993,[1 1 1 0 1]
994,[1 1 1 0 1]
995,[1 1 1 1 1]
996,[0 1 0 1 1]
997,[1 1 0 1 1]
998,[1 1 1 1 1]
